agencyname,agencyabbrev,agencycode,agencyacronym,agency
Amtrak,Amtrak,,Amtrak,Amtrak
Brooklyn Bridge Park Corporation,BBPC,,BBPC,Brooklyn Bridge Park Corporation
Brooklyn Public Library,BPL,38,BPL,Brooklyn Public Library
City University of New York,CUNY,42,CUNY,City University of New York
Federal Bureau of Prisons,FBOP,,FBOP,Federal Bureau of Prisons
Hudson River Park Trust,HRPT,,HRPT,Hudson River Park Trust
Hudson Yards Development Corporation,HYDC,,HYDC,Hudson Yards Development Corporation
Metropolitan Transportation Authority,MTA,,MTA,Metropolitan Transportation Authority
New York City Department of Probation,NYCDOP,781,DOP,Department of Probation
New York City Department of Records and Information Services,NYCDORIS,860,DORIS,Department of Records and Information Services
New York City Department of Sanitation,NYCDSNY,827,DSNY,Department of Sanitation
New York City Department of Small Business Services,NYCSBS,801,SBS,Department of Small Business Services
New York City Department of Transportation,NYCDOT,841,DOT,Department of Transportation
New York City Department of Youth and Community Development,NYCDYCD,260,DYCD,Department of Youth and Community Development
New York City District Attorney - Bronx ,NYCDA-BX,902,DA-BX,District Attorney - Bronx 
New York City District Attorney - Brooklyn,NYCDA-BK,903,DA-BK,District Attorney - Brooklyn
New York City District Attorney - Manhattan,NYCDA-MN,901,DA-MN,District Attorney - Manhattan
New York City District Attorney - Office Special Narcotics,NYCDA-SNP,906,DA-SNP,District Attorney - Office Special Narcotics
New York City District Attorney - Queens,NYCDA-QN,904,DA-QN,District Attorney - Queens
New York City District Attorney - Staten Island,NYCDA-SI,905,DA-SI,District Attorney - Staten Island
New York City Economic Development Corporation,NYCEDC,998,EDC,Economic Development Corporation
New York City Fire Department,NYCFDNY,57,FDNY,Fire Department
New York City Health and Hospitals Corporation,NYCHHC,819,HHC,Health and Hospitals Corporation
New York City Housing Authority,NYCHA,996,NYCHA,Housing Authority
New York City Human Resources Administration/Department of Social Services,NYCHRA/DSS,69,HRA/DSS,Human Resources Administration/Department of Social Services
New York City Independent Budget Office,NYCIBO,132,IBO,Independent Budget Office
New York City Landmarks Preservation Commission,NYCLPC,136,LPC,Landmarks Preservation Commission
New York City Law Department,NYCLAW,25,LAW,Law Department
New York City Office of Administrative Trials and Hearings,NYCOATH,,OATH,Office of Administrative Trials and Hearings
New York City Office of Collective Bargaining,NYCOCB,313,OCB,Office of Collective Bargaining
New York City Office of Court Administration,NYCOCA,,OCA,Office of Court Administration
New York City Office of Emergency Management,NYCEM,17,EM,Office of Emergency Management
New York City Office of Labor Relations,NYCOLR,214,OLR,Office of Labor Relations
New York City Office of Management and Budget,NYCOMB,19,OMB,Office of Management and Budget
New York City Office of Payroll Administration,NYCOPA,131,OPA,Office of Payroll Administration
New York City Office of Public Advocate,NYCPA,101,PA,Office of Public Advocate
New York City Office of the Actuary,NYCACT,,ACT,Office of the Actuary
New York City Office of the City Clerk,NYCCLERK,103,CLERK,Office of the City Clerk
New York City Office of the Comptroller,NYCCOMP,15,COMP,Office of the Comptroller
New York City Office of the Mayor,NYCMO,2,MO,Office of the Mayor
New York City Office of the Medical Examiner,NYCOCME,,OCME,Office of the Medical Examiner
New York City Police Department,NYPD,56,NYPD,Police Department
New York City Public Administrators Office - Bronx,NYCPA-BX,942,PA-BX,Public Administrators Office - Bronx
New York City Public Administrators Office - Brooklyn,NYCPA-BK,943,PA-BK,Public Administrators Office - Brooklyn
New York City Public Administrators Office - Manhattan,NYCPA-MN,941,PA-MN,Public Administrators Office - Manhattan
New York City Public Administrators Office - Queens,NYCPA-QN,944,PA-QN,Public Administrators Office - Queens
New York City Public Administrators Office - Staten Island,NYCPA-SI,945,PA-SI,Public Administrators Office - Staten Island
New York City Tax Commission,NYCTAXCM,21,TAXCM,Tax Commission
New York City Taxi and Limousine Commission,NYCTLC,156,TLC,Taxi and Limousine Commission
New York City Unknown,NYCUNKN,,UNKN,Unknown
New York Public Library,NYPL,37,NYPL,New York Public Library
